frequency=10000
wave0	Time
1.436064	0.147236
1.441088	0.147240
1.436064	0.147243
1.431040	0.147247
1.431040	0.147250
1.436064	0.147253
1.436064	0.147257
1.431040	0.147260
1.431040	0.147264
1.431040	0.147267
1.431040	0.147271
1.431040	0.147274
1.436064	0.147278
1.431040	0.147281
1.436064	0.147284
1.436064	0.147288
1.431040	0.147291
1.436064	0.147295
1.431040	0.147298
1.436064	0.147301
1.436064	0.147305
1.436064	0.147308
1.431040	0.147312
1.441088	0.147315
1.431040	0.147318
1.431040	0.147322
1.436064	0.147325
1.436064	0.147347
1.436064	0.147352
1.431040	0.147356
1.426016	0.147360
1.431040	0.147363
1.436064	0.147367
1.436064	0.147371
1.426016	0.147374
1.426016	0.147377
1.436064	0.147381
1.436064	0.147384
1.431040	0.147388
1.431040	0.147391
1.436064	0.147395
1.431040	0.147398
1.436064	0.147402
1.431040	0.147405
1.431040	0.147409
1.436064	0.147412
1.431040	0.147416
1.431040	0.147419
1.431040	0.147423
1.431040	0.147426
1.431040	0.147430
1.431040	0.147433
1.436064	0.147437
1.436064	0.147440
1.436064	0.147444
1.431040	0.147447
1.431040	0.147451
1.436064	0.147454
1.436064	0.147457
1.436064	0.147461
1.436064	0.147464
1.436064	0.147468
1.436064	0.147471
1.436064	0.147474
1.436064	0.147478
1.431040	0.147481
1.436064	0.147485
1.436064	0.147488
1.436064	0.147492
1.431040	0.147495
1.436064	0.147499
1.436064	0.147502
1.426016	0.147505
1.436064	0.147509
1.431040	0.147512
1.436064	0.147516
1.436064	0.147519
1.431040	0.147522
1.431040	0.147526
1.436064	0.147529
1.436064	0.147533
1.436064	0.147536
1.436064	0.147539
1.436064	0.147543
1.436064	0.147546
1.431040	0.147549
1.431040	0.147553
1.431040	0.147556
1.436064	0.147560
1.431040	0.147563
1.431040	0.147567
1.436064	0.147570
1.436064	0.147574
1.436064	0.147577
1.431040	0.147581
1.431040	0.147584
1.431040	0.147587
1.436064	0.147591
1.436064	0.147594
1.431040	0.147598
1.436064	0.147601
1.441088	0.147604
1.436064	0.147608
1.426016	0.147612
1.436064	0.147615
1.431040	0.147618
1.436064	0.147622
1.426016	0.147625
1.431040	0.147629
1.431040	0.147632
1.436064	0.147636
1.436064	0.147639
1.436064	0.147642
1.431040	0.147646
1.436064	0.147649
1.431040	0.147653
1.431040	0.147656
1.431040	0.147659
1.436064	0.147663
1.436064	0.147666
1.436064	0.147669
1.436064	0.147673
1.431040	0.147676
1.431040	0.147680
1.431040	0.147683
1.431040	0.147686
1.436064	0.147690
1.431040	0.147693
1.431040	0.147697
1.436064	0.147700
1.436064	0.147704
1.436064	0.147707
1.441088	0.147710
1.420992	0.147714
1.436064	0.147717
1.431040	0.147721
1.426016	0.147724
1.431040	0.147728
1.426016	0.147731
1.431040	0.147735
1.436064	0.147738
1.436064	0.147741
1.436064	0.147745
1.431040	0.147748
1.436064	0.147752
1.436064	0.147755
1.431040	0.147758
1.431040	0.147762
1.441088	0.147765
1.436064	0.147768
1.436064	0.147772
1.436064	0.147775
1.436064	0.147779
1.436064	0.147782
1.431040	0.147786
1.436064	0.147789
1.436064	0.147793
1.431040	0.147796
1.431040	0.147799
1.436064	0.147803
1.431040	0.147806
1.431040	0.147810
1.431040	0.147813
1.426016	0.147817
